Label	trainingSize	Accuracy_Mean	Accuracy_SD
0.15perc_10flips_Baseline_1	0.6	0.4718	0.0363
0.15perc_10flips	0.6	0.5777	0.0474
0.3perc_2flips_Baseline_0	0.6	0.5222	0.0464
0.3perc_2flips_Baseline_1	0.6	0.4778	0.0464
0.3perc_2flips	0.6	0.5669	0.0509
0.3perc_5flips_Baseline_0	0.6	0.5181	0.0504
0.3perc_5flips_Baseline_1	0.6	0.4819	0.0504
0.3perc_5flips	0.6	0.5511	0.067
0.3perc_10flips_Baseline_0	0.6	0.5262	0.0423
0.3perc_10flips_Baseline_1	0.6	0.4738	0.0423
0.3perc_10flips	0.6	0.5482	0.0643
0.05perc_2flips_Baseline_0	0.8	0.5081	0.0854
0.05perc_2flips_Baseline_1	0.8	0.4919	0.0854
0.05perc_2flips	0.8	0.6289	0.0781
0.05perc_5flips_Baseline_0	0.8	0.5528	0.0732
0.05perc_5flips_Baseline_1	0.8	0.4472	0.0732
0.05perc_5flips	0.8	0.6569	0.0479
0.05perc_10flips_Baseline_0	0.8	0.5325	0.0691
0.05perc_10flips_Baseline_1	0.8	0.4675	0.0691
0.05perc_10flips	0.8	0.6394	0.053
0.15perc_2flips_Baseline_0	0.8	0.5325	0.0854
0.15perc_2flips_Baseline_1	0.8	0.4675	0.0854
0.15perc_2flips	0.8	0.591	0.0613
0.15perc_5flips_Baseline_0	0.8	0.5163	0.0772
0.15perc_5flips_Baseline_1	0.8	0.4837	0.0772
0.15perc_5flips	0.8	0.6087	0.0616
0.15perc_10flips_Baseline_0	0.8	0.5407	0.0691
0.15perc_10flips_Baseline_1	0.8	0.4593	0.0691
0.15perc_10flips	0.8	0.6188	0.0629
0.3perc_2flips_Baseline_0	0.8	0.5163	0.0528
0.3perc_2flips_Baseline_1	0.8	0.4837	0.0528
0.3perc_2flips	0.8	0.5919	0.055
0.3perc_5flips_Baseline_0	0.8	0.5285	0.0813
0.3perc_5flips_Baseline_1	0.8	0.4715	0.0813
0.3perc_5flips	0.8	0.5872	0.0735
0.3perc_10flips_Baseline_0	0.8	0.5122	0.065
0.3perc_10flips_Baseline_1	0.8	0.4878	0.065
0.3perc_10flips	0.8	0.5631	0.0598

