Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_1given1_Mean	ProbabilityEstimate_1given1_SD	ProbabilityEstimate_1given1_SE
80perc_10repeat	0.25	0.3801	0.0626	0.0044	0.0	0.0	0.0	0.3916	0.5238	0.0321	0.0023	0.6294	0.0048	0.0	0.5763	0.0044	0.0
90perc_10repeat	0.25	0.3851	0.0664	0.0047	0.0	0.0	0.0	0.3944	0.526	0.0355	0.0025	0.6321	0.0049	0.0	0.5792	0.0048	0.0
60perc_5repeat	0.3	0.3745	0.0629	0.0044	0.0	0.0	0.0	0.3839	0.5299	0.0291	0.0021	0.6377	0.0038	0.0	0.5799	0.0038	0.0
100perc_10repeat	0.25	0.3953	0.0539	0.0038	0.0	0.0	0.0	0.402	0.5247	0.0358	0.0025	0.6459	0.004	0.0	0.582	0.0045	0.0
5perc_10repeat	0.3	0.3783	0.0686	0.0048	0.0	0.0	0.0	0.3922	0.5254	0.0314	0.0022	0.6414	0.0036	0.0	0.5858	0.0039	0.0
15perc_10repeat	0.3	0.3766	0.0634	0.0045	0.0	0.0	0.0	0.3854	0.5272	0.0334	0.0024	0.6399	0.0035	0.0	0.5849	0.0038	0.0
30perc_10repeat	0.3	0.3752	0.0666	0.0047	0.0	0.0	0.0	0.3918	0.5284	0.0313	0.0022	0.6453	0.0035	0.0	0.58	0.004	0.0
50perc_10repeat	0.3	0.3755	0.0603	0.0043	0.0	0.0	0.0	0.3867	0.5267	0.0305	0.0022	0.645	0.0035	0.0	0.5856	0.004	0.0
80perc_2repeat	0.25	0.3886	0.0569	0.004	0.0	0.0	0.0	0.3995	0.5265	0.0322	0.0023	0.6397	0.0041	0.0	0.5798	0.0053	0.0
15perc_2repeat	0.3	0.3718	0.064	0.0045	0.0	0.0	0.0	0.3827	0.5269	0.0292	0.0021	0.6399	0.0036	0.0	0.585	0.0038	0.0
30perc_2repeat	0.3	0.3718	0.0647	0.0046	0.0	0.0	0.0	0.3878	0.5242	0.0313	0.0022	0.6354	0.0038	0.0	0.5851	0.0039	0.0
50perc_2repeat	0.3	0.3689	0.0654	0.0046	0.0	0.0	0.0	0.3792	0.5299	0.0281	0.002	0.642	0.0037	0.0	0.5806	0.0038	0.0
60perc_2repeat	0.3	0.3664	0.0652	0.0046	0.0	0.0	0.0	0.3852	0.5294	0.0286	0.002	0.6415	0.0035	0.0	0.5826	0.0038	0.0
