Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
30perc_5repeat	0.2	0.3292	0.0636	0.0045	0.4163	0.3206	0.3622	0.3238	0.514	0.0258	0.0018	0.5513	0.0034	0.0	0.4837	0.0033	0.0
30perc_10repeat	0.2	0.3118	0.0542	0.0038	0.3879	0.3059	0.3421	0.3077	0.5122	0.0215	0.0015	0.5406	0.0026	0.0	0.4932	0.0027	0.0
30perc_2repeat	0.1	0.3808	0.075	0.0053	0.3551	0.4007	0.3766	0.3993	0.5198	0.05	0.0035	0.5598	0.007	0.0	0.4784	0.0072	0.0
30perc_5repeat	0.1	0.3656	0.0724	0.0051	0.3379	0.3958	0.3646	0.372	0.5133	0.0378	0.0027	0.5447	0.0058	0.0	0.4873	0.0062	0.0
30perc_10repeat	0.1	0.3544	0.0659	0.0047	0.3238	0.3394	0.3314	0.3565	0.5165	0.0324	0.0023	0.5449	0.0046	0.0	0.4947	0.0052	0.0
30perc_2repeat	0.05	0.4072	0.0745	0.0053	0.3168	0.4313	0.3653	0.4255	0.5177	0.0638	0.0045	0.5417	0.0123	0.0	0.498	0.0133	0.0
30perc_5repeat	0.05	0.3929	0.0746	0.0053	0.3075	0.4453	0.3638	0.4123	0.516	0.0564	0.004	0.5313	0.0109	0.0	0.508	0.0107	0.0
30perc_10repeat	0.05	0.3829	0.0717	0.0051	0.2834	0.3854	0.3266	0.4069	0.5161	0.0487	0.0034	0.5282	0.0092	0.0	0.5286	0.0094	0.0


5perc_10repeat	0.9	0.2428	0.0428	0.003	0.7703	0.373	0.5026	0.2362	0.5247	0.0063	0.0004	0.6251	0.0006	0.0	0.4301	0.0006	0.0
5perc_10repeat	0.8	0.2607	0.0433	0.0031	0.7654	0.3189	0.4502	0.2549	0.5253	0.0099	0.0007	0.6263	0.001	0.0	0.4313	0.001	0.0
5perc_10repeat	0.7	0.2733	0.0523	0.0037	0.7549	0.2775	0.4058	0.2665	0.5246	0.0127	0.0009	0.6244	0.0013	0.0	0.4317	0.0013	0.0
5perc_10repeat	0.6	0.2951	0.0592	0.0042	0.7286	0.235	0.3553	0.2907	0.5259	0.0147	0.001	0.6255	0.0017	0.0	0.4316	0.0017	0.0
5perc_10repeat	0.5	0.3035	0.0614	0.0043	0.681	0.2579	0.3741	0.2991	0.5241	0.0177	0.0013	0.6227	0.002	0.0	0.4262	0.0022	0.0
