Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1	mle_meanAccuracy	mle_sd	mle_se	mple_meanAccuracy	mple_sd	mple_se	i2_initialEstimate_meanAccuracy	i2_initialEstimate_sd	i2_initialEstimate_se	initialEstimate_meanAccuracy	initialEstimate_sd	i2_initialEstimate_se	i1_meanSquaredLoss	i2_meanSquaredLoss
5perc_2repeat	0.4	0.1666	0.7507	0.0056	0.0025	0.6381	0.5412	0.5857	0.6745	0.0039	0.0017	0.7519	0.0039	0.0017	0.7211	0.0045	0.002	0.0	0.0	0.0	0.1857	0.172
50perc_2repeat	0.4	0.192	0.7445	0.0057	0.0026	0.6327	0.5434	0.5847	0.6622	0.0112	0.005	0.7425	0.0055	0.0024	0.716	0.0045	0.002	0.0	0.0	0.0	0.1958	0.1938
40perc_2repeat	0.4	0.1802	0.7491	0.0022	0.001	0.6413	0.52	0.5743	0.6692	0.0071	0.0032	0.7466	0.0038	0.0017	0.7156	0.0148	0.0066	0.0	0.0	0.0	0.2526	0.1841
90perc_2repeat	0.4	0.2944	0.2803	0.0151	0.0067	0.2097	0.4345	0.2829	0.3324	0.0097	0.0043	0.2813	0.0156	0.007	0.2794	0.0094	0.0042	0.0	0.0	0.0	0.2793	0.2969
100perc_2repeat	0.4	0.3133	0.2665	0.0019	0.0008	0.2023	0.4208	0.2733	0.3279	0.0049	0.0022	0.2663	0.0044	0.002	0.2777	0.0029	0.0013	0.0	0.0	0.0	0.2387	0.317
15perc_10repeat	0.2	0.1767	0.738	0.0052	0.0023	0.6214	0.5153	0.5634	0.6712	0.0034	0.0015	0.7417	0.0133	0.0059	0.7052	0.0113	0.005	0.0	0.0	0.0	0.1397	0.1845
40perc_10repeat	0.2	0.1991	0.7385	0.0107	0.0048	0.6129	0.5586	0.5845	0.6672	0.0099	0.0044	0.7364	0.0128	0.0057	0.6959	0.0189	0.0084	0.0	0.0	0.0	0.2116	0.1991
30perc_10repeat	0.2	0.1833	0.7456	0.0028	0.0013	0.6363	0.5247	0.5751	0.6675	0.0064	0.0029	0.746	0.004	0.0018	0.7034	0.0095	0.0042	0.0	0.0	0.0	0.1839	0.1851
15perc_2repeat	0.4	0.1693	0.7482	0.0041	0.0018	0.6428	0.5394	0.5866	0.6692	0.0031	0.0014	0.7476	0.0041	0.0018	0.7206	0.009	0.004	0.0	0.0	0.0	0.1722	0.1757
60perc_10repeat	0.2	0.2771	0.334	0.0482	0.0216	0.2105	0.3845	0.272	0.3358	0.0079	0.0035	0.3325	0.0489	0.0219	0.3111	0.0047	0.0021	0.0	0.0	0.0	0.2651	0.2809
90perc_10repeat	0.2	0.3789	0.2649	0.0153	0.0069	0.193	0.403	0.261	0.3359	0.0075	0.0033	0.2654	0.0234	0.0105	0.2968	0.0081	0.0036	0.0	0.0	0.0	0.352	0.4235
60perc_2repeat	0.4	0.2095	0.7328	0.0049	0.0022	0.6092	0.5269	0.565	0.6679	0.0103	0.0046	0.7329	0.0052	0.0023	0.7157	0.0101	0.0045	0.0	0.0	0.0	0.2253	0.2102
5perc_10repeat	0.2	0.1795	0.7247	0.0251	0.0112	0.6157	0.5094	0.5576	0.6698	0.0046	0.0021	0.7284	0.0443	0.0198	0.7094	0.0174	0.0078	0.0	0.0	0.0	0.1435	0.1931
70perc_2repeat	0.4	0.2376	0.6156	0.0803	0.0359	0.4451	0.5324	0.4849	0.664	0.0077	0.0034	0.6148	0.0808	0.0362	0.6799	0.0441	0.0197	0.0	0.0	0.0	0.2487	0.2377
100perc_10repeat	0.2	0.4013	0.2601	0.0052	0.0023	0.2105	0.4605	0.289	0.3275	0.0042	0.0019	0.2561	0.0117	0.0053	0.297	0.0154	0.0069	0.0	0.0	0.0	0.3795	0.453
30perc_2repeat	0.5	0.1715	0.7502	0.004	0.0018	0.6543	0.5035	0.569	0.6599	0.0064	0.0029	0.7498	0.005	0.0022	0.7326	0.0054	0.0024	0.0	0.0	0.0	0.1977	0.176
40perc_2repeat	0.5	0.1797	0.7478	0.0061	0.0027	0.644	0.5087	0.5684	0.672	0.0093	0.0041	0.7471	0.0043	0.0019	0.7302	0.0045	0.002	0.0	0.0	0.0	0.2225	0.1835
50perc_2repeat	0.5	0.191	0.7427	0.0026	0.0012	0.6421	0.4965	0.56	0.6702	0.004	0.0018	0.7427	0.0024	0.0011	0.7275	0.0064	0.0028	0.0	0.0	0.0	0.2471	0.1934
60perc_2repeat	0.5	0.2136	0.7279	0.0038	0.0017	0.5825	0.5267	0.5532	0.6717	0.0098	0.0044	0.7275	0.0035	0.0016	0.7235	0.01	0.0045	0.0	0.0	0.0	0.2265	0.2141
90perc_2repeat	0.5	0.2956	0.2777	0.007	0.0031	0.2193	0.4655	0.2981	0.3325	0.0086	0.0039	0.2764	0.0079	0.0035	0.2789	0.0069	0.0031	0.0	0.0	0.0	0.2696	0.2966
70perc_10repeat	0.2	0.3215	0.2582	0.0026	0.0012	0.1962	0.4095	0.2652	0.3322	0.0076	0.0034	0.2582	0.003	0.0013	0.3015	0.0096	0.0043	0.0	0.0	0.0	0.309	0.3406
100perc_2repeat	0.5	0.3137	0.2638	0.003	0.0013	0.2092	0.4466	0.2849	0.3286	0.0037	0.0017	0.2633	0.0029	0.0013	0.2745	0.0059	0.0026	0.0	0.0	0.0	0.2964	0.3158
15perc_5repeat	0.4	0.1684	0.7501	0.0023	0.001	0.6457	0.5195	0.5758	0.6737	0.0025	0.0011	0.7488	0.0026	0.0012	0.7177	0.0113	0.005	0.0	0.0	0.0	0.2107	0.1751
70perc_2repeat	0.5	0.2313	0.6645	0.0079	0.0035	0.4864	0.5034	0.4947	0.6714	0.0116	0.0052	0.6657	0.0084	0.0037	0.7219	0.0103	0.0046	0.0	0.0	0.0	0.2402	0.2313
5perc_2repeat	0.5	0.1675	0.7466	0.0018	0.0008	0.6467	0.5071	0.5685	0.6681	0.0053	0.0024	0.7473	0.0036	0.0016	0.7242	0.0089	0.004	0.0	0.0	0.0	0.2372	0.1726
70perc_5repeat	0.4	0.3019	0.272	0.0067	0.003	0.2156	0.4737	0.2964	0.324	0.0047	0.0021	0.2716	0.0072	0.0032	0.2829	0.0093	0.0041	0.0	0.0	0.0	0.2672	0.3055
15perc_2repeat	0.5	0.1681	0.7502	0.0024	0.0011	0.6508	0.5137	0.5742	0.6688	0.0053	0.0024	0.7501	0.0031	0.0014	0.7248	0.0062	0.0028	0.0	0.0	0.0	0.2706	0.1732
50perc_10repeat	0.2	0.236	0.6278	0.0922	0.0412	0.477	0.6456	0.5486	0.6641	0.0082	0.0037	0.6282	0.0939	0.042	0.672	0.0363	0.0162	0.0	0.0	0.0	0.2305	0.2358
5perc_5repeat	0.4	0.1673	0.7448	0.0032	0.0014	0.6447	0.513	0.5714	0.6686	0.0025	0.0011	0.7463	0.0023	0.001	0.7225	0.005	0.0022	0.0	0.0	0.0	0.2632	0.1757
30perc_5repeat	0.4	0.1753	0.7517	0.004	0.0018	0.6482	0.5219	0.5782	0.6711	0.0065	0.0029	0.7499	0.0042	0.0019	0.7184	0.0092	0.0041	0.0	0.0	0.0	0.2128	0.1798
50perc_5repeat	0.4	0.2146	0.7105	0.0337	0.0151	0.5727	0.5554	0.5639	0.6655	0.0089	0.004	0.7118	0.0341	0.0152	0.7143	0.011	0.0049	0.0	0.0	0.0	0.2277	0.2151
40perc_5repeat	0.4	0.1851	0.7488	0.0037	0.0016	0.6516	0.5025	0.5674	0.6633	0.0112	0.005	0.7486	0.003	0.0013	0.7238	0.0041	0.0018	0.0	0.0	0.0	0.2088	0.1885
90perc_5repeat	0.4	0.3655	0.2546	0.0046	0.0021	0.207	0.447	0.283	0.3292	0.0018	0.0008	0.2548	0.0039	0.0018	0.2849	0.0055	0.0025	0.0	0.0	0.0	0.305	0.3765
100perc_5repeat	0.4	0.3848	0.2552	0.0076	0.0034	0.1951	0.414	0.2652	0.3318	0.0172	0.0077	0.2541	0.0057	0.0025	0.2826	0.0066	0.0029	0.0	0.0	0.0	0.278	0.3984
60perc_5repeat	0.4	0.2503	0.5035	0.0793	0.0354	0.3352	0.4882	0.3975	0.4539	0.111	0.0496	0.5021	0.0782	0.035	0.5151	0.1618	0.0724	0.0	0.0	0.0	0.251	0.2504
5perc_2repeat	0.7	0.1716	0.7434	0.0063	0.0028	0.6456	0.484	0.5532	0.672	0.0103	0.0046	0.7446	0.0043	0.0019	0.7322	0.0098	0.0044	0.0	0.0	0.0	0.2385	0.1728
15perc_2repeat	0.7	0.1742	0.7367	0.0038	0.0017	0.6419	0.4585	0.5349	0.6698	0.0053	0.0024	0.7384	0.0024	0.0011	0.7302	0.0046	0.0021	0.0	0.0	0.0	0.2315	0.1751
30perc_2repeat	0.7	0.1754	0.7478	0.0069	0.0031	0.6585	0.4693	0.548	0.6679	0.016	0.0071	0.7474	0.0067	0.003	0.7318	0.0043	0.0019	0.0	0.0	0.0	0.2625	0.1766
40perc_2repeat	0.7	0.182	0.7444	0.0077	0.0034	0.6407	0.4653	0.5391	0.6726	0.0184	0.0082	0.7453	0.008	0.0036	0.7345	0.0076	0.0034	0.0	0.0	0.0	0.2042	0.1828
15perc_5repeat	0.5	0.1671	0.7502	0.0047	0.0021	0.6555	0.5018	0.5685	0.6724	0.0046	0.0021	0.7507	0.0045	0.002	0.7285	0.007	0.0031	0.0	0.0	0.0	0.2693	0.1728
60perc_2repeat	0.7	0.2104	0.7337	0.0031	0.0014	0.6138	0.4773	0.537	0.6716	0.0068	0.003	0.7321	0.0053	0.0023	0.735	0.0075	0.0034	0.0	0.0	0.0	0.2103	0.2106
40perc_5repeat	0.5	0.1869	0.7476	0.0043	0.0019	0.6516	0.4966	0.5636	0.672	0.0034	0.0015	0.7473	0.0055	0.0025	0.7345	0.0075	0.0034	0.0	0.0	0.0	0.2372	0.1896
