Label	trainingSize	meanSquaredLoss	meanAccuracy	sd	se	meanPrecision	meanRecall	f1
15perc_10repeat	0.6	0.194	0.727	0.0273	0.0019	0.7362	0.6671	0.6999
50perc_2repeat	0.5	0.2179	0.6921	0.0449	0.0032	0.7037	0.62	0.6592
30perc_2repeat	0.6	0.2	0.7198	0.0326	0.0023	0.7312	0.6543	0.6906
30perc_10repeat	0.6	0.207	0.7124	0.0369	0.0026	0.7309	0.6305	0.677
40perc_2repeat	0.6	0.2081	0.7075	0.0384	0.0027	0.7203	0.6373	0.6763
40perc_10repeat	0.7	0.2203	0.701	0.04	0.0028	0.7136	0.6237	0.6656
15perc_5repeat	0.6	0.1939	0.7271	0.028	0.002	0.7364	0.6669	0.6999
15perc_10repeat	0.5	0.1978	0.7184	0.0298	0.0021	0.7269	0.6549	0.689
30perc_5repeat	0.6	0.2049	0.7151	0.0345	0.0024	0.7288	0.6449	0.6843
40perc_10repeat	0.5	0.2221	0.6865	0.0444	0.0031	0.7006	0.6105	0.6525
50perc_2repeat	0.6	0.2172	0.6973	0.0447	0.0032	0.7097	0.6271	0.6659
70perc_5repeat	0.5	0.2785	0.3546	0.0517	0.0037	0.3415	0.4213	0.3772
70perc_2repeat	0.6	0.2438	0.5771	0.0594	0.0042	0.5684	0.5642	0.5663
40perc_5repeat	0.6	0.2154	0.703	0.0426	0.003	0.7204	0.6229	0.6681
60perc_5repeat	0.5	0.2516	0.5086	0.0554	0.0039	0.4913	0.4813	0.4862
80perc_2repeat	0.5	0.2617	0.4269	0.0545	0.0039	0.4036	0.4521	0.4265
90perc_2repeat	0.6	0.2799	0.3097	0.0409	0.0029	0.3046	0.3613	0.3305
80perc_2repeat	0.6	0.2617	0.421	0.0577	0.0041	0.403	0.4623	0.4306
50perc_5repeat	0.6	0.232	0.656	0.052	0.0037	0.6654	0.5968	0.6292
50perc_10repeat	0.5	0.2408	0.602	0.0524	0.0037	0.6018	0.5575	0.5788
60perc_10repeat	0.5	0.2664	0.3943	0.0526	0.0037	0.3761	0.4481	0.4089
70perc_5repeat	0.6	0.2769	0.3388	0.0501	0.0035	0.327	0.389	0.3553
100perc_2repeat	0.6	0.3022	0.267	0.0199	0.0014	0.2667	0.3134	0.2882
70perc_10repeat	0.5	0.2964	0.3059	0.0401	0.0028	0.3062	0.3859	0.3415
40perc_10repeat	0.6	0.22	0.698	0.0418	0.003	0.7174	0.6123	0.6607
80perc_5repeat	0.5	0.3062	0.3014	0.0381	0.0027	0.2971	0.3656	0.3278
60perc_5repeat	0.6	0.2534	0.4959	0.0518	0.0037	0.479	0.5138	0.4958
80perc_5repeat	0.6	0.3051	0.2888	0.0351	0.0025	0.2898	0.3554	0.3192
90perc_5repeat	0.5	0.3361	0.2777	0.0257	0.0018	0.2763	0.3315	0.3014
100perc_2repeat	0.5	0.3022	0.2739	0.0195	0.0014	0.2714	0.3211	0.2941
90perc_5repeat	0.6	0.3356	0.2716	0.0248	0.0018	0.2724	0.3247	0.2963
50perc_10repeat	0.6	0.2407	0.6071	0.0543	0.0038	0.609	0.5589	0.5829
80perc_10repeat	0.5	0.3297	0.2859	0.0326	0.0023	0.2869	0.3527	0.3164
100perc_5repeat	0.6	0.3687	0.2638	0.0215	0.0015	0.2628	0.3077	0.2835
60perc_10repeat	0.6	0.2649	0.3941	0.0512	0.0036	0.3765	0.4398	0.4057
90perc_10repeat	0.5	0.3653	0.2775	0.0269	0.0019	0.2763	0.3328	0.3019
80perc_10repeat	0.6	0.3288	0.2798	0.0314	0.0022	0.2835	0.3461	0.3116
100perc_5repeat	0.5	0.3689	0.2713	0.0218	0.0015	0.268	0.3165	0.2903
60perc_2repeat	0.7	0.2289	0.6721	0.0509	0.0036	0.6736	0.6232	0.6474
90perc_10repeat	0.6	0.3641	0.2692	0.026	0.0018	0.2706	0.3222	0.2941
100perc_10repeat	0.6	0.4035	0.2643	0.0224	0.0016	0.2634	0.3087	0.2842
5perc_2repeat	0.7	0.1894	0.7342	0.0272	0.0019	0.7313	0.6933	0.7118
50perc_2repeat	0.7	0.2165	0.7036	0.043	0.003	0.7103	0.6412	0.674
30perc_5repeat	0.7	0.2038	0.7207	0.035	0.0025	0.728	0.6562	0.6902
60perc_5repeat	0.7	0.2519	0.5036	0.0521	0.0037	0.4827	0.4973	0.4899
5perc_2repeat	0.9	0.1875	0.7385	0.053	0.0037	0.7358	0.709	0.7221
15perc_2repeat	0.9	0.1901	0.735	0.0529	0.0037	0.7351	0.6996	0.7169
