Label	trainingSize	Accuracy_Mean	Accuracy_SD	Accuracy_SE	Precision_Mean	Recall_Mean	F1	Accuracy_Median	PriorClass0_Mean	PriorClass0_SD	PriorClass0_SE	ProbabilityEstimate_0given0_Mean 	ProbabilityEstimate_0given0_SD 	ProbabilityEstimate_0given0_SE 	ProbabilityEstimate_0given1_Mean	ProbabilityEstimate_0given1_SD	ProbabilityEstimate_0given1_SE
5perc_2repeat	0.4	0.5495	0.0484	0.0034	0.6178	0.1775	0.2758	0.5372	0.5278	0.023	0.0016	0.6296	0.0024	0.0	0.4339	0.0029	0.0
5perc_5repeat	0.4	0.5593	0.0507	0.0036	0.6686	0.2303	0.3426	0.5476	0.5236	0.0219	0.0015	0.6216	0.0025	0.0	0.4281	0.0024	0.0
5perc_2repeat	0.4	0.5592	0.0527	0.0037	0.6537	0.2174	0.3262	0.5429	0.5268	0.0229	0.0016	0.6296	0.0028	0.0	0.4277	0.0028	0.0
5perc_5repeat	0.4	0.5513	0.0553	0.0039	0.6539	0.262	0.3741	0.5396	0.5234	0.0241	0.0017	0.6205	0.0025	0.0	0.427	0.0025	0.0
5perc_2repeat	0.4	0.5595	0.0528	0.0037	0.6562	0.2163	0.3253	0.5482	0.5225	0.022	0.0016	0.6274	0.0026	0.0	0.4253	0.0026	0.0
5perc_5repeat	0.4	0.5462	0.05	0.0035	0.6152	0.1824	0.2813	0.5316	0.5271	0.023	0.0016	0.6239	0.0023	0.0	0.4391	0.0028	0.0
5perc_2repeat	0.4	0.5598	0.0566	0.004	0.6449	0.2746	0.3852	0.5451	0.5232	0.0235	0.0017	0.6285	0.0026	0.0	0.4223	0.0029	0.0
5perc_5repeat	0.4	0.5567	0.0553	0.0039	0.6281	0.2611	0.3689	0.5456	0.5228	0.0245	0.0017	0.6235	0.0027	0.0	0.4278	0.0026	0.0
5perc_2repeat	0.4	0.5528	0.0498	0.0035	0.64	0.235	0.3438	0.5408	0.5249	0.0237	0.0017	0.6282	0.0027	0.0	0.4266	0.0026	0.0
5perc_5repeat	0.4	0.5561	0.0516	0.0036	0.6546	0.2052	0.3125	0.5394	0.5258	0.0219	0.0016	0.6244	0.0024	0.0	0.4321	0.0026	0.0
5perc_2repeat	0.4	0.5503	0.052	0.0037	0.6305	0.2205	0.3267	0.5381	0.5249	0.0225	0.0016	0.6301	0.0026	0.0	0.4274	0.0029	0.0
5perc_5repeat	0.4	0.5521	0.0548	0.0039	0.6168	0.2391	0.3446	0.5375	0.5245	0.024	0.0017	0.6246	0.0027	0.0	0.4284	0.0026	0.0
5perc_2repeat	0.4	0.5537	0.0542	0.0038	0.6476	0.2211	0.3296	0.5365	0.5251	0.0232	0.0016	0.6263	0.0026	0.0	0.4281	0.0028	0.0
5perc_5repeat	0.4	0.5458	0.0511	0.0036	0.6207	0.2242	0.3295	0.5354	0.5262	0.0227	0.0016	0.6238	0.0026	0.0	0.4304	0.0028	0.0
5perc_2repeat	0.4	0.5605	0.0538	0.0038	0.6484	0.1966	0.3017	0.5445	0.5267	0.0216	0.0015	0.6323	0.0026	0.0	0.4281	0.0028	0.0
